Barèmes;;;;;;;
2026;;;;;;;
Montant du diviseur;;0;;;;;
;;;;;;;
;;;;;;;
Canton-Id;Canton;Type d'impôt;Sujet fiscal;Autorité fiscale;Pour les prochains CHF;En plus %;
10;FR;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Canton;62 800;6,21;0
10;FR;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Canton;96 600;8,04;0
10;FR;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Canton;127 600;9,1;0
10;FR;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Canton;155 200;9,98;0
10;FR;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Canton;204 200;10,87;0
10;FR;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Canton;257 400;11,72;0
10;FR;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Canton;312 000;12,54;0
10;FR;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Canton;362 000;13,11;0
10;FR;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Canton;414 200;13,5;0
;;;;;;;
;;;;;;;
Barèmes;;;;;;;
2025;;;;;;;
Montant du diviseur;;2;;;;;
;;;;;;;
;;;;;;;
Canton-Id;Canton;Type d'impôt;Sujet fiscal;Autorité fiscale;Revenu imposable Confédération;En plus %;Montant de base CHF
25;GE;Impôt sur le revenu;Tous;Canton;0;0;0
25;GE;Impôt sur le revenu;Tous;Canton;18 649;7,3;0
25;GE;Impôt sur le revenu;Tous;Canton;22 469;8,2;279
25;GE;Impôt sur le revenu;Tous;Canton;24 716;9,1;463
25;GE;Impôt sur le revenu;Tous;Canton;26 962;10;668
25;GE;Impôt sur le revenu;Tous;Canton;29 210;10,9;892
25;GE;Impôt sur le revenu;Tous;Canton;34 827;11,3;1 505
25;GE;Impôt sur le revenu;Tous;Canton;39 320;12,3;2 012
25;GE;Impôt sur le revenu;Tous;Canton;43 815;12,8;2 565
25;GE;Impôt sur le revenu;Tous;Canton;48 309;13,2;3 140
25;GE;Impôt sur le revenu;Tous;Canton;77 518;14,2;6 996
25;GE;Impôt sur le revenu;Tous;Canton;126 950;15;14 015
25;GE;Impôt sur le revenu;Tous;Canton;170 764;15,6;20 587
25;GE;Impôt sur le revenu;Tous;Canton;193 234;15,8;24 093
25;GE;Impôt sur le revenu;Tous;Canton;276 369;16;37 228
25;GE;Impôt sur le revenu;Tous;Canton;294 345;16,8;40 104
25;GE;Impôt sur le revenu;Tous;Canton;414 554;17,6;60 299
25;GE;Impôt sur le revenu;Tous;Canton;649 355;18;101 624
;;;;;;;
Barèmes;;;;;;;
2026;;;;;;;
Montant du diviseur;;1,7;;;;;
;;;;;;;
;;;;;;;
Canton-Id;Canton;Type d'impôt;Sujet fiscal;Autorité fiscale;Revenu imposable Confédération;En plus %;Montant de base CHF
8;GL;Impôt sur le revenu;Tous;Canton;0;0;0
8;GL;Impôt sur le revenu;Tous;Canton;10 300;8;0
8;GL;Impôt sur le revenu;Tous;Canton;20 600;11;824
8;GL;Impôt sur le revenu;Tous;Canton;30 900;13;1 957
8;GL;Impôt sur le revenu;Tous;Canton;51 600;15;4 648
8;GL;Impôt sur le revenu;Tous;Canton;103 200;16;12 388
8;GL;Impôt sur le revenu;Tous;Canton;154 700;17,5;20 628
8;GL;Impôt sur le revenu;Tous;Canton;257 900;19;38 688
8;GL;Impôt sur le revenu;Tous;Canton;412 600;21;68 081
8;GL;Impôt sur le revenu;Tous;Canton;464 200;17;78 917
;;;;;;;
Barèmes;;;;;;;
2026;;;;;;;
Montant du diviseur;;1,9;;;;;
;;;;;;;
;;;;;;;
Canton-Id;Canton;Type d'impôt;Sujet fiscal;Autorité fiscale;Revenu imposable Confédération;En plus %;Montant de base CHF
18;GR;Impôt sur le revenu;Tous;Canton;0;0;0
18;GR;Impôt sur le revenu;Tous;Canton;16 895;2,5;0
18;GR;Impôt sur le revenu;Tous;Canton;17 985;4;27
18;GR;Impôt sur le revenu;Tous;Canton;19 075;5;71
18;GR;Impôt sur le revenu;Tous;Canton;20 165;6;125
18;GR;Impôt sur le revenu;Tous;Canton;21 255;6,5;191
18;GR;Impôt sur le revenu;Tous;Canton;22 345;7;262
18;GR;Impôt sur le revenu;Tous;Canton;24 525;8;414
18;GR;Impôt sur le revenu;Tous;Canton;31 065;8,5;937
18;GR;Impôt sur le revenu;Tous;Canton;35 425;9;1 308
18;GR;Impôt sur le revenu;Tous;Canton;39 785;9,5;1 700
18;GR;Impôt sur le revenu;Tous;Canton;44 145;10,3;2 115
18;GR;Impôt sur le revenu;Tous;Canton;65 945;10,6;4 360
18;GR;Impôt sur le revenu;Tous;Canton;87 745;10,7;6 671
18;GR;Impôt sur le revenu;Tous;Canton;109 545;11,2;9 003
18;GR;Impôt sur le revenu;Tous;Canton;218 545;11,3;21 211
18;GR;Impôt sur le revenu;Tous;Canton;327 545;11,4;33 528
18;GR;Impôt sur le revenu;Tous;Canton;436 545;11,6;45 954
18;GR;Impôt sur le revenu;Tous;Canton;780 440;11;85 846
18;GR;Impôt sur le revenu;Tous;Canton;780 441;11;85 849
;;;;;;;
Barèmes;;;;;;;
2025;;;;;;;
Montant du diviseur;;0;;;;;
;;;;;;;
;;;;;;;
Canton-Id;Canton;Type d'impôt;Sujet fiscal;Autorité fiscale;Pour les prochains CHF;En plus %;
26;JU;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;6 800;0;
26;JU;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;7 800;1,67;
26;JU;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;14 000;3,15;
26;JU;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;21 800;4,03;
26;JU;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;42 100;4,91;
26;JU;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;112 400;5,56;
26;JU;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;9 999 999 999;5,79;
26;JU;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant (pas en concubinage);Canton;12 600;0;
26;JU;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant (pas en concubinage);Canton;6 200;0,88;
26;JU;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant (pas en concubinage);Canton;9 300;2,27;
26;JU;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant (pas en concubinage);Canton;20 300;3,24;
26;JU;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant (pas en concubinage);Canton;42 100;4,12;
26;JU;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant (pas en concubinage);Canton;112 400;4,77;
26;JU;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant (pas en concubinage);Canton;234 300;5,7;
26;JU;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant (pas en concubinage);Canton;9 999 999 999;5,79;
26;JU;Impôt sur le revenu;Personne vivant seule, avec enfant (en concubinage);Canton;6 800;0;
26;JU;Impôt sur le revenu;Personne vivant seule, avec enfant (en concubinage);Canton;7 800;1,67;
26;JU;Impôt sur le revenu;Personne vivant seule, avec enfant (en concubinage);Canton;14 000;3,15;
26;JU;Impôt sur le revenu;Personne vivant seule, avec enfant (en concubinage);Canton;21 800;4,03;
26;JU;Impôt sur le revenu;Personne vivant seule, avec enfant (en concubinage);Canton;42 100;4,91;
26;JU;Impôt sur le revenu;Personne vivant seule, avec enfant (en concubinage);Canton;112 400;5,56;
26;JU;Impôt sur le revenu;Personne vivant seule, avec enfant (en concubinage);Canton;9 999 999 999;5,79;
;;;;;;;
Barèmes;;;;;;;
2026;;;;;;;
Montant du diviseur;;0;;;;;
;;;;;;;
;;;;;;;
Canton-Id;Canton;Type d'impôt;Sujet fiscal;Autorité fiscale;Revenu imposable Confédération;En plus %;Montant de base CHF
3;LU;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;0;0;0
3;LU;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;9 900;0,5;0
3;LU;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;12 300;1;12
3;LU;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;15 500;2;44
3;LU;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;16 700;3;68
3;LU;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;17 900;4;104
3;LU;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;20 800;4,5;220
3;LU;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;25 100;5;414
3;LU;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;110 100;5,25;4 664
3;LU;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;163 900;5,5;7 488
3;LU;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;190 100;5,8;8 929
3;LU;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;2 096 800;5,7;119 518
3;LU;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Canton;0;0;0
3;LU;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Canton;19 900;0,5;0
3;LU;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Canton;24 000;1,5;21
3;LU;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Canton;25 000;2,5;36
3;LU;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Canton;26 200;3;66
3;LU;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Canton;28 300;3,5;129
3;LU;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Canton;32 500;4,5;276
3;LU;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Canton;99 200;5;3 277
3;LU;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Canton;138 100;5,5;5 222
3;LU;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Canton;159 200;5,8;6 383
3;LU;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Canton;1 425 500;5,6;79 828
;;;;;;;
Barèmes;;;;;;;
2026;;;;;;;
Montant du diviseur;;1,923076923;;;;;
;;;;;;;
;;;;;;;
Canton-Id;Canton;Type d'impôt;Sujet fiscal;Autorité fiscale;Revenu imposable Confédération;En plus %;Montant de base CHF
24;NE;Impôt sur le revenu;Tous;Canton;0;0;0
24;NE;Impôt sur le revenu;Tous;Canton;7 700;1,98;0
24;NE;Impôt sur le revenu;Tous;Canton;10 300;3,96;51
24;NE;Impôt sur le revenu;Tous;Canton;15 500;7,92;257
24;NE;Impôt sur le revenu;Tous;Canton;20 600;11,48;661
24;NE;Impôt sur le revenu;Tous;Canton;30 900;11,78;1 844
24;NE;Impôt sur le revenu;Tous;Canton;41 200;12,18;3 058
24;NE;Impôt sur le revenu;Tous;Canton;51 500;12,67;4 312
24;NE;Impôt sur le revenu;Tous;Canton;61 800;13,17;5 617
24;NE;Impôt sur le revenu;Tous;Canton;72 100;13,66;6 973
24;NE;Impôt sur le revenu;Tous;Canton;82 400;14,06;8 380
24;NE;Impôt sur le revenu;Tous;Canton;92 700;14,36;9 828
24;NE;Impôt sur le revenu;Tous;Canton;103 000;14,65;11 307
24;NE;Impôt sur le revenu;Tous;Canton;113 300;14,95;12 816
24;NE;Impôt sur le revenu;Tous;Canton;123 600;15,25;14 356
24;NE;Impôt sur le revenu;Tous;Canton;133 900;15,35;15 926
24;NE;Impôt sur le revenu;Tous;Canton;144 200;15,44;17 507
24;NE;Impôt sur le revenu;Tous;Canton;154 500;15,54;19 097
24;NE;Impôt sur le revenu;Tous;Canton;164 800;15,74;20 698
24;NE;Impôt sur le revenu;Tous;Canton;175 100;15,94;22 320
24;NE;Impôt sur le revenu;Tous;Canton;185 400;16,04;23 961
24;NE;Impôt sur le revenu;Tous;Canton;195 700;16,04;25 613
24;NE;Impôt sur le revenu;Tous;Canton;206 000;13,37;27 265
24;NE;Impôt sur le revenu;Tous;Canton;309 000;13,61;41 031
24;NE;Impôt sur le revenu;Tous;Canton;412 000;13,86;55 052
;;;;;;;
;;;;;;;
Barèmes;;;;;;;
2026;;;;;;;
Montant du diviseur;;1,85;;;;;
;;;;;;;
;;;;;;;
Canton-Id;Canton;Type d'impôt;Sujet fiscal;Autorité fiscale;Pour les prochains CHF;En plus %;
